flagged_twitter_url,flagged_tweet_id,username_handle,flagged_date,lumen_filename,lumen_url,screen_name,user_desc, status_count,following_count,followers_count,active_status,tweet_id2,us_tweet_text,india_tweet_text,monthyear
https://twitter.com/AMIT_GUJJU/status/1128581518295613441,1128581518295613441,AMIT_GUJJU,2019-05-16 00:00:00,05_16_19_ECI_Order.pdf,,Amit Kumar,"Passionate Follower of Politics, Public Policy & Economics. Interested in Intellectual Debates.Influencer.RTs are not Endorsement, Views Personal.",71632,1316,68101,active,1128581518295613441,"Sources: mera exit poll
U.P.; 58
Bihar; 16
Jhar; 6
Bengal; 16
MAHA; 22
M.P.; 24
CG; 6
Raj; 21
Guj; 23
Har; 8
PUN; 2
UK; 5
J&amp;k; 3
HP; 4
Del; 7
NE; 17
Karnatak; 18
Orissa; 11
AP; 2
TN; 2
Kerala; 1
Goa; 2
Total= 274 https://t.co/7RWK9tyoEg",This Tweet from @AMIT_GUJJU has been withheld in India in response to a legal demand. Learn more.,2019-5
https://twitter.com/bk_chudasama/status/1128592137350713344,1128592137350713344,bk_chudasama,2019-05-16 00:00:00,05_16_19_ECI_Order.pdf,,Ranjitsinh Chudasama,Convener Social Media BJP JAMNAGAR (Dist) Honoured to be followed by our Prime Minister Sh. @narendramodi ji,110136,917,14910,active,1128592137350713344,Code 144: No status found with that ID.,No status found with that ID (Code 144),2019-5
https://twitter.com/Dehaati_Indian/status/1128582379369426944,1128582379369426944,Dehaati_Indian,2019-05-16 00:00:00,05_16_19_ECI_Order.pdf,,CovidWorrior,"किसान पुत्र, 
Doctor by Profession.",20037,469,1014,active,1128582379369426944,Code 144: No status found with that ID.,No status found with that ID (Code 144),2019-5
https://twitter.com/sunnydeolBJP/status/1128599916731781121,1128599916731781121,sunnydeolBJP,2019-05-16 00:00:00,05_16_19_ECI_Order.pdf,,,,,,,Code 63: User has been suspended.,1128599916731781121,Code 63: User has been suspended.,This Tweet from @mahindrbahubali has been withheld in India in response to a legal demand. Learn more.,2019-5
https://twitter.com/CA_keshavKumar/status/1128652376020094976,1128652376020094976,CA_keshavKumar,2019-05-16 00:00:00,15_May__2019_Twitter_TDR_on_Restriction_of_Publication_of_Exit_Polls.pdf,,,,,,,Code 50: User not found.,1128652376020094976,Code 144: No status found with that ID.,No status found with that ID (Code 144),2019-5
https://twitter.com/kumar_gauravg/status/1128663300261257217,1128663300261257217,kumar_gauravg,2019-05-16 00:00:00,15_May__2019_Twitter_TDR_on_Restriction_of_Publication_of_Exit_Polls.pdf,,Kumar Gaurav (Rajput),"Secretary Purvanchal Morcha Dist Nazafgarh Delhi Pradesh.
followed by PM @narendramodi ji",9740,100,244,active,1128663300261257217,"@manakgupta Sources: BJP's exit poll
U.P.; 61-75
Bihar; 17
Jhar; 6
Bengal; 13-23
MAHA; 22
M.P.; 24
CG; 6
Raj; 24
Guj; 24
Har; 9
PUN; 3
UK; 5
J&amp;k; 2
HP; 4
Del; 7
NE; 17
Karnatak; 20
Orissa; 8-13
AP; 2
TN; 2
Kerala; 1
Goa; 2
Total= 279-308",This Tweet from @kumar_gauravg has been withheld in India in response to a legal demand. Learn more.,2019-5
https://twitter.com/ssjadoun7_singh/status/1128644641119584258,1128644641119584258,ssjadoun7_singh,2019-05-16 00:00:00,15_May__2019_Twitter_TDR_on_Restriction_of_Publication_of_Exit_Polls.pdf,,,,,,,Code 63: User has been suspended.,1128644641119584258,Code 63: User has been suspended.,User has been suspended (Code 63),2019-5
https://twitter.com/Abdal__Abdullah/status/1382699904615780357,1382699904615780357,Abdal__Abdullah,2021-04-22 00:00:00,April_22_2021_Lumen_India.pdf,,🌴الشـــــیخ🌴,"The impossible will also be possible when the faith is on ALLAH.. ❤️✌🏻 Sabr insan ki sbse bdi Taqat hai. 🔥 No dm for girls 🚫
#Student",180760,81,14592,active,1382699904615780357,"एहसान है पाक परवरदिगार का कि उसने हमें मुसलमान पैदा किया
यही है इस्लाम की ख़ूबसूरती
हमें फ़ख़्र है हम मुसलमान हैं।
#Islam_Vs_Kufr https://t.co/SzsXk9NNyF",This Tweet from @Abdal__Abdullah has been withheld in India in response to a legal demand. Learn more.,2021-4
https://twitter.com/ByRakeshSimha/status/1299272263250890342,1299272263250890342,ByRakeshSimha,2020-09-27 00:00:00,Delhi_High_Court_Order_in_C.S_(O.S.)_282_of_2020.pdf,,Rakesh Thiyyan,"Published: @RussiaBeyond @officialCLAWSIN @htTweets @USAirForce CUWS. Cited: US ArmyWarCollege, US Naval PGS, Johns Hopkins SAIS, @CarnegieEndow @BBC @IDSAIndia",23067,41,18407,active,1299272263250890342,Code 144: No status found with that ID.,No status found with that ID (Code 144),2020-9
https://twitter.com/ByRakeshSimha/status/1299274412149948086,1299274412149948086,ByRakeshSimha,2020-09-27 00:00:00,Delhi_High_Court_Order_in_C.S_(O.S.)_282_of_2020.pdf,,Rakesh Thiyyan,"Published: @RussiaBeyond @officialCLAWSIN @htTweets @USAirForce CUWS. Cited: US ArmyWarCollege, US Naval PGS, Johns Hopkins SAIS, @CarnegieEndow @BBC @IDSAIndia",23067,41,18407,active,1299274412149948086,Code 144: No status found with that ID.,No status found with that ID (Code 144),2020-9
